season,player_id,first_name,last_name,player_name,position,height_wo_shoes,height_wo_shoes_ft_in,height_w_shoes,height_w_shoes_ft_in,weight,wingspan,wingspan_ft_in,standing_reach,standing_reach_ft_in,body_fat_pct,hand_length,hand_width,standing_vertical_leap,max_vertical_leap,lane_agility_time,modified_lane_agility_time,three_quarter_sprint,bench_press,person_id,round_number,round_pick,overall_pick,team_id,organization,person_id_player,display_first_last,birthdate,school,country,draft_year,draft_round,draft_number
2001.0,12033.0,Adam,Allenspach,Adam Allenspach,C,83.5,6' 11.5'',79.0,,259.0,84.5,7' 0.5'',107.0,8' 11'',12.4,8.75,9.5,28.5,31.0,11.9,3.1,3.4,16.0,203469.5,1.0,15.0,27.0,1610612753.0,,203479.5,,,,,,,
2001.0,2240.0,Gilbert,Arenas,Gilbert Arenas,SG,74.25,6' 2.25'',79.0,,199.0,81.5,6' 9.5'',99.5,8' 3.5'',5.3,8.75,9.5,31.5,36.0,11.32,3.1,3.25,12.0,2240.0,2.0,2.0,30.0,1610612744.0,Arizona,2240.0,Gilbert Arenas,1982-01-06 00:00:00,Arizona,USA,2001,2,30
2001.0,2220.0,Brandon,Armstrong,Brandon Armstrong,SG,75.5,6' 3.5'',79.0,,188.0,81.5,6' 9.5'',99.5,8' 3.5'',9.3,8.75,9.5,30.0,37.0,10.91,3.1,3.2,6.0,2220.0,1.0,23.0,23.0,1610612745.0,Pepperdine,2220.0,Brandon Armstrong,1980-06-16 00:00:00,Pepperdine,USA,2001,1,23
2001.0,2203.0,Shane,Battier,Shane Battier,SF-PF,80.25,6' 8.25'',79.0,,229.0,82.5,6' 10.5'',105.0,8' 9'',9.3,8.75,9.5,29.5,33.0,10.95,3.1,3.3,12.0,2203.0,1.0,6.0,6.0,1610612763.0,Duke,2203.0,Shane Battier,1978-09-09 00:00:00,Duke,USA,2001,1,6
2001.0,12034.0,Cookie,Belcher,Cookie Belcher,SG-PG,75.0,6' 3'',79.0,,206.0,80.5,6' 8.5'',99.0,8' 3'',5.3,8.75,9.5,35.0,41.5,11.26,3.1,2.91,7.0,203469.5,1.0,15.0,27.0,1610612753.0,,203479.5,,,,,,,
2001.0,2294.0,Charlie,Bell,Charlie Bell,PG,74.5,6' 2.5'',79.0,,200.0,79.5,6' 7.5'',97.5,8' 1.5'',6.7,8.75,9.5,31.5,38.0,10.59,3.1,3.12,15.0,203469.5,1.0,15.0,27.0,1610612753.0,,203479.5,,,,,,,
2001.0,2257.0,Ruben,Boumtje-Boumtje,Ruben Boumtje-Boumtje,C,83.5,6' 11.5'',79.0,,245.0,88.0,7' 4'',111.0,9' 3'',6.0,8.75,9.5,26.5,31.0,11.84,3.1,3.33,6.0,2257.0,2.0,21.0,49.0,1610612757.0,Georgetown,2257.0,Ruben Boumtje-Boumtje,1978-05-20 00:00:00,Georgetown,USA,2001,2,49
2001.0,12035.0,Calvin,Bowman,Calvin Bowman,PF,80.75,6' 8.75'',79.0,,214.0,83.5,6' 11.5'',104.0,8' 8'',8.6,8.75,9.5,28.5,34.5,11.96,3.1,3.21,7.0,203469.5,1.0,15.0,27.0,1610612753.0,,203479.5,,,,,,,
2001.0,2214.0,Michael,Bradley,Michael Bradley,PF,81.5,6' 9.5'',79.0,,227.0,85.5,7' 1.5'',107.0,8' 11'',9.3,8.75,9.5,27.0,30.0,11.11,3.1,3.35,13.0,2214.0,1.0,17.0,17.0,1610612761.0,Villanova,2214.0,Michael Bradley,1979-04-18 00:00:00,Villanova,USA,2001,1,17
2001.0,2249.0,Jamison,Brewer,Jamison Brewer,PG,74.5,6' 2.5'',79.0,,178.0,80.75,6' 8.75'',102.5,8' 6.5'',6.7,8.75,9.5,26.0,32.5,9.65,3.1,3.15,12.0,2249.0,2.0,12.0,40.0,1610612754.0,Auburn,2249.0,Jamison Brewer,1980-11-19 00:00:00,Auburn,USA,2001,2,40
