season,player_id,first_name,last_name,player_name,position,height_wo_shoes,height_wo_shoes_ft_in,height_w_shoes,height_w_shoes_ft_in,weight,wingspan,wingspan_ft_in,standing_reach,standing_reach_ft_in,body_fat_pct,hand_length,hand_width,standing_vertical_leap,max_vertical_leap,lane_agility_time,modified_lane_agility_time,three_quarter_sprint,bench_press,spot_fifteen_corner_left,spot_fifteen_break_left,spot_fifteen_top_key,spot_fifteen_break_right,spot_fifteen_corner_right,spot_college_corner_left,spot_college_break_left,spot_college_top_key,spot_college_break_right,spot_college_corner_right,spot_nba_corner_left,spot_nba_break_left,spot_nba_top_key,spot_nba_break_right,spot_nba_corner_right,off_drib_fifteen_break_left,off_drib_fifteen_top_key,off_drib_fifteen_break_right,off_drib_college_break_left,off_drib_college_top_key,off_drib_college_break_right,on_move_fifteen,on_move_college,person_id,round_number,round_pick,overall_pick,team_id,organization,person_id_player,display_first_last,birthdate,school,country,draft_year,draft_round,draft_number
2000,2124,Malik,Allen,Malik Allen,PF-C,80.25,6' 8.25'',,,271,86.5,7' 2.5'',109.0,9' 1'',,,,25.5,29.0,11.83,,3.38,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2124,Malik Allen,1978-06-27 00:00:00,Villanova,USA,Undrafted,Undrafted,Undrafted
2000,12019,Harold,Arceneaux,Harold Arceneaux,SG-SF,76.5,6' 4.5'',,,219,80.5,6' 8.5'',103.0,8' 7'',,,,,29.0,13.8,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,12020,Lamont,Barnes,Lamont Barnes,PF-C,80.5,6' 8.5'',,,235.5,87.5,7' 3.5'',108.0,9' 0'',,,,28.0,29.5,12.3,,3.4,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,12131,Mario,Bland,Mario Bland,PF,77.5,6' 5.5'',,,287,84.0,7' 0'',103.0,8' 7'',,,,27.0,31.0,13.04,,3.47,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,2056,Primoz,Brezec,Primoz Brezec,C,84.75,7' 0.75'',,,243,86.0,7' 2'',110.0,9' 2'',,,,26.0,29.5,11.53,,3.55,,,,,,,,,,,,,,,,,,,,,,,,,2056,1.0,27.0,27.0,1610612754,KK Olimpija (Slovenia),2056,Primoz Brezec,1979-10-02 00:00:00,Union Olimpija,Slovenia,2000,1,27
2000,2081,Ernest,Brown,Ernest Brown,C,82.0,6' 10'',,,222.5,85.25,7' 1.25'',109.5,9' 1.5'',,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2081,2.0,23.0,52.0,1610612748,Indian Hills Community College,2081,Ernest Brown,1979-05-17 00:00:00,Indian Hills C.C.,USA,2000,2,52
2000,2049,Speedy,Claxton,Speedy Claxton,PG,70.5,5' 10.5'',,,166,72.0,6' 0'',94.5,7' 10.5'',,,,36.0,42.5,10.48,,3.06,6.0,,,,,,,,,,,,,,,,,,,,,,,,2049,1.0,20.0,20.0,1610612755,Hofstra,2049,Speedy Claxton,1978-05-08 00:00:00,Hofstra,USA,2000,1,20
2000,12132,Eric,Coley,Eric Coley,SG-SF,76.0,6' 4'',,,205,83.0,6' 11'',102.0,8' 6'',,,,35.0,38.0,11.4,,3.15,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,12133,Ed,Cota,Ed Cota,PG,72.25,6' 0.25'',,,189,76.0,6' 4'',96.5,8' 0.5'',,,,26.5,33.5,10.98,,3.24,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,12134,Schea,Cotton,Schea Cotton,SF,76.25,6' 4.25'',,,219.5,79.0,6' 7'',100.0,8' 4'',,,,34.0,38.0,11.55,,3.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,2037,Jamal,Crawford,Jamal Crawford,PG-SG,76.5,6' 4.5'',,,175,82.0,6' 10'',102.5,8' 6.5'',,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,2037,1.0,8.0,8.0,1610612739,Michigan,,,,,,,,
2000,12017,Caswell,Cyrus,Caswell Cyrus,PF,79.75,6' 7.75'',,,220.5,86.0,7' 2'',107.5,8' 11.5'',,,,33.5,37.5,12.12,,3.16,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,2064,Khalid,El-Amin,Khalid El-Amin,PG,69.0,5' 9'',,,200,73.5,6' 1.5'',93.0,7' 9'',,,,27.5,32.0,10.59,,3.32,6.0,,,,,,,,,,,,,,,,,,,,,,,,2064,2.0,5.0,34.0,1610612741,Connecticut,2064,Khalid El-Amin,1979-04-25 00:00:00,Connecticut,USA,2000,2,34
2000,12018,Vassil,Evtimov,Vassil Evtimov,PF,81.75,6' 9.75'',,,262,82.5,6' 10.5'',106.5,8' 10.5'',,,,21.0,28.5,11.75,,3.52,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,2238,Antonis,Fotsis,Antonis Fotsis,SF,81.25,6' 9.25'',,,219,80.5,6' 8.5'',106.0,8' 10'',,,,27.0,30.0,11.6,,3.44,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2238,Antonis Fotsis,1981-04-01 00:00:00,Panathinaikos,Greece,2001,2,47
2000,2109,Eddie,Gill,Eddie Gill,PG,71.75,5' 11.75'',,,176,76.0,6' 4'',93.0,7' 9'',,,,35.0,38.5,11.12,,3.18,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2109,Eddie Gill,1978-08-16 00:00:00,Weber State,USA,Undrafted,Undrafted,Undrafted
