antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'standing_vertical_leap_STANDING_VERTICAL_LEAP_MED', 'lane_agility_time_LANE_AGILITY_TIME_MED'})",frozenset({'max_vertical_leap_MAX_VERTICAL_LEAP_MED'}),0.16971713810316139,0.28452579034941766,0.15806988352745424,0.9313725490196079,3.273420479302832,1.0,0.10978098067281097,10.425481340622776,0.8364729458917834,0.5337078651685392,0.9040811673506612,0.7434640522875817
"frozenset({'max_vertical_leap_MAX_VERTICAL_LEAP_MED', 'lane_agility_time_LANE_AGILITY_TIME_MED'})",frozenset({'standing_vertical_leap_STANDING_VERTICAL_LEAP_MED'}),0.18469217970049917,0.2653910149750416,0.15806988352745424,0.8558558558558559,3.2248863283346045,1.0,0.109054238498786,5.09634983361065,0.8461976369495168,0.5413105413105413,0.8037811310744494,0.7257335705611567
"frozenset({'max_vertical_leap_MAX_VERTICAL_LEAP_MED', 'bench_press_BENCH_PRESS_LOW'})",frozenset({'standing_vertical_leap_STANDING_VERTICAL_LEAP_MED'}),0.22628951747088186,0.2653910149750416,0.16722129783693843,0.738970588235294,2.7844597086483494,1.0,0.10716609311712869,2.814276675025192,0.8282993633980635,0.5153846153846153,0.6446689094663912,0.6845323160612207
"frozenset({'standing_vertical_leap_STANDING_VERTICAL_LEAP_MED', 'max_vertical_leap_MAX_VERTICAL_LEAP_MED'})",frozenset({'lane_agility_time_LANE_AGILITY_TIME_MED'}),0.18552412645590682,0.3227953410981697,0.15806988352745424,0.852017937219731,2.63949886736628,1.0,0.09818355984617982,4.5762617859123695,0.7626256652868125,0.45130641330166266,0.7814810326021089,0.6708543294346078
"frozenset({'standing_vertical_leap_STANDING_VERTICAL_LEAP_MED', 'bench_press_BENCH_PRESS_LOW'})",frozenset({'max_vertical_leap_MAX_VERTICAL_LEAP_MED'}),0.22296173044925124,0.28452579034941766,0.16722129783693843,0.75,2.6359649122807016,1.0,0.10378293526319139,2.8618968386023296,0.7987152034261242,0.491442542787286,0.6505813953488372,0.6688596491228069
"frozenset({'weight_WEIGHT_HIGH', 'standing_vertical_leap_STANDING_VERTICAL_LEAP_LOW'})",frozenset({'max_vertical_leap_MAX_VERTICAL_LEAP_LOW'}),0.17637271214642264,0.348585690515807,0.15640599001663893,0.8867924528301886,2.543972621245553,1.0,0.09492498636493255,5.754159733777033,0.7368794326241136,0.42437923250564336,0.82621267982361,0.6677399018327554
"frozenset({'lane_agility_time_LANE_AGILITY_TIME_HIGH', 'standing_vertical_leap_STANDING_VERTICAL_LEAP_LOW'})",frozenset({'max_vertical_leap_MAX_VERTICAL_LEAP_LOW'}),0.19966722129783693,0.348585690515807,0.17304492512479203,0.8666666666666668,2.4862370723945904,1.0,0.1034437889153131,4.885607321131452,0.7469214776907085,0.46119733924611983,0.7953171562366966,0.6815433571996818
"frozenset({'bench_press_BENCH_PRESS_HIGH', 'max_vertical_leap_MAX_VERTICAL_LEAP_HIGH'})",frozenset({'standing_vertical_leap_STANDING_VERTICAL_LEAP_HIGH'}),0.1314475873544093,0.36189683860232946,0.11730449251247921,0.8924050632911393,2.4659100829332172,1.0,0.06973402620701494,5.930605852990119,0.6844379228825305,0.3119469026548673,0.8313831630716421,0.608271497162811
"frozenset({'wingspan_WINGSPAN_HIGH', 'standing_vertical_leap_STANDING_VERTICAL_LEAP_LOW'})",frozenset({'max_vertical_leap_MAX_VERTICAL_LEAP_LOW'}),0.17054908485856904,0.348585690515807,0.1464226289517471,0.8585365853658538,2.462914022934979,1.0,0.08697165843948385,4.604825291181367,0.7161085529315219,0.3928571428571429,0.7828364950316171,0.6392921590313756
"frozenset({'wingspan_WINGSPAN_LOW', 'standing_vertical_leap_STANDING_VERTICAL_LEAP_HIGH'})",frozenset({'max_vertical_leap_MAX_VERTICAL_LEAP_HIGH'}),0.1589018302828619,0.3668885191347754,0.14143094841930118,0.8900523560209425,2.425947691467512,1.0,0.08313169121901656,5.758299659297998,0.6988363297841391,0.367965367965368,0.8263376240961535,0.6377699421828068
"frozenset({'weight_WEIGHT_LOW', 'standing_vertical_leap_STANDING_VERTICAL_LEAP_HIGH'})",frozenset({'max_vertical_leap_MAX_VERTICAL_LEAP_HIGH'}),0.15391014975041598,0.3668885191347754,0.13643926788685523,0.8864864864864864,2.4162284733713304,1.0,0.0799714009651136,5.577410664765071,0.6927536753243638,0.35497835497835495,0.8207053308235962,0.6291842863271434
"frozenset({'weight_WEIGHT_LOW', 'height_w_shoes_HEIGHT_W_SHOES_LOW'})",frozenset({'wingspan_WINGSPAN_LOW'}),0.23960066555740434,0.3469217970049917,0.19966722129783693,0.8333333333333333,2.4020783373301353,1.0,0.1165445278390702,3.918469217970048,0.7676148796498905,0.5161290322580644,0.7447983014861994,0.7044364508393285
"frozenset({'wingspan_WINGSPAN_HIGH', 'bench_press_BENCH_PRESS_HIGH'})",frozenset({'weight_WEIGHT_HIGH'}),0.13727121464226288,0.34608985024958405,0.11397670549084858,0.8303030303030303,2.3990967365967366,1.0,0.06646853137172931,3.853399096743523,0.6759673116584195,0.30855855855855857,0.74048885804611,0.5798149766899767
"frozenset({'height_w_shoes_HEIGHT_W_SHOES_HIGH', 'bench_press_BENCH_PRESS_HIGH'})",frozenset({'weight_WEIGHT_HIGH'}),0.14143094841930118,0.34608985024958405,0.11730449251247921,0.8294117647058823,2.3965214932126693,1.0,0.06835667675338661,3.8332663950886436,0.6787206553411401,0.3168539325842697,0.7391258793593772,0.584177036199095
"frozenset({'wingspan_WINGSPAN_LOW', 'weight_WEIGHT_LOW'})",frozenset({'height_w_shoes_HEIGHT_W_SHOES_LOW'}),0.2437603993344426,0.34359400998336104,0.19966722129783693,0.8191126279863481,2.383954912444529,1.0,0.11591260821537039,3.628810473110853,0.7676521818848553,0.5150214592274679,0.724427603092003,0.7001132147195663
"frozenset({'height_w_shoes_HEIGHT_W_SHOES_HIGH', 'standing_vertical_leap_STANDING_VERTICAL_LEAP_LOW'})",frozenset({'max_vertical_leap_MAX_VERTICAL_LEAP_LOW'}),0.17554076539101499,0.348585690515807,0.14559068219633944,0.8293838862559242,2.379282652218665,1.0,0.0843996832788392,3.818011647254576,0.7031339195617702,0.38461538461538464,0.7380835648526448,0.6235224920539764
"frozenset({'lane_agility_time_LANE_AGILITY_TIME_LOW', 'standing_vertical_leap_STANDING_VERTICAL_LEAP_HIGH'})",frozenset({'max_vertical_leap_MAX_VERTICAL_LEAP_HIGH'}),0.1821963394342762,0.3668885191347754,0.1589018302828619,0.8721461187214612,2.3771420288054337,1.0,0.09205608511604342,4.951836225338721,0.7083934744052026,0.4072494669509595,0.7980547105166838,0.65262634734259
"frozenset({'standing_vertical_leap_STANDING_VERTICAL_LEAP_HIGH', 'height_w_shoes_HEIGHT_W_SHOES_LOW'})",frozenset({'max_vertical_leap_MAX_VERTICAL_LEAP_HIGH'}),0.1638935108153078,0.3668885191347754,0.14226289517470883,0.8680203045685281,2.365896612452088,1.0,0.08213224769588126,4.7970369896326694,0.6904948939512963,0.3661670235546039,0.7915379843513414,0.6278877033046723
"frozenset({'wingspan_WINGSPAN_HIGH', 'max_vertical_leap_MAX_VERTICAL_LEAP_LOW'})",frozenset({'weight_WEIGHT_HIGH'}),0.18302828618968386,0.34608985024958405,0.14891846921797006,0.8136363636363636,2.350939685314685,1.0,0.08557423705914435,3.5087861693924753,0.7033758490823653,0.3916849015317287,0.7150011566042099,0.6219624125874126
"frozenset({'wingspan_WINGSPAN_LOW', 'height_w_shoes_HEIGHT_W_SHOES_LOW'})",frozenset({'weight_WEIGHT_LOW'}),0.2562396006655574,0.3319467554076539,0.19966722129783693,0.7792207792207791,2.3474270090811444,1.0,0.11460931724995224,3.0258882255065083,0.7717561521252796,0.5139186295503213,0.6695185263055747,0.6903622693096376
"frozenset({'bench_press_BENCH_PRESS_HIGH', 'standing_vertical_leap_STANDING_VERTICAL_LEAP_LOW'})",frozenset({'max_vertical_leap_MAX_VERTICAL_LEAP_LOW'}),0.1264559068219634,0.348585690515807,0.10232945091514144,0.8092105263157895,2.321410626805678,1.0,0.058248731315804776,3.4143094841930117,0.6516298877274487,0.27455357142857145,0.7071150097465887,0.5513833061173219
"frozenset({'height_w_shoes_HEIGHT_W_SHOES_HIGH', 'max_vertical_leap_MAX_VERTICAL_LEAP_LOW'})",frozenset({'weight_WEIGHT_HIGH'}),0.17803660565723795,0.34608985024958405,0.14143094841930118,0.7943925233644861,2.2953360891445005,1.0,0.07981428622844344,3.1803811828770243,0.6865682305310788,0.3695652173913044,0.6855722812774965,0.6015231847591661
"frozenset({'max_vertical_leap_MAX_VERTICAL_LEAP_HIGH', 'height_w_shoes_HEIGHT_W_SHOES_LOW'})",frozenset({'standing_vertical_leap_STANDING_VERTICAL_LEAP_HIGH'}),0.1713810316139767,0.36189683860232946,0.14226289517470883,0.830097087378641,2.293739537997992,1.0,0.08024064163720479,3.7556928927977222,0.6806876629324315,0.3638297872340426,0.7337375476259798,0.6116002678272515
"frozenset({'lane_agility_time_LANE_AGILITY_TIME_LOW', 'weight_WEIGHT_LOW'})",frozenset({'wingspan_WINGSPAN_LOW'}),0.17387687188019968,0.3469217970049917,0.13810316139767054,0.7942583732057416,2.2894449990247034,1.0,0.07778148454738495,3.174263823859458,0.68175420716097,0.3608695652173913,0.6849663243226769,0.5961699539889619
"frozenset({'lane_agility_time_LANE_AGILITY_TIME_LOW', 'weight_WEIGHT_LOW'})",frozenset({'height_w_shoes_HEIGHT_W_SHOES_LOW'}),0.17387687188019968,0.34359400998336104,0.13643926788685523,0.7846889952153109,2.2837679715467405,1.0,0.07669621623417432,3.0486411536328326,0.6804399086286935,0.35807860262008734,0.6719850091873304,0.5908917131040234
"frozenset({'wingspan_WINGSPAN_HIGH', 'lane_agility_time_LANE_AGILITY_TIME_HIGH'})",frozenset({'weight_WEIGHT_HIGH'}),0.2021630615640599,0.34608985024958405,0.15973377703826955,0.7901234567901235,2.2830009496676165,1.0,0.08976719333556663,3.1156895370461006,0.7043795620437957,0.41113490364025695,0.6790437596205197,0.6258309591642925
"frozenset({'weight_WEIGHT_HIGH', 'lane_agility_time_LANE_AGILITY_TIME_HIGH'})",frozenset({'wingspan_WINGSPAN_HIGH'}),0.18885191347753744,0.37104825291181365,0.15973377703826955,0.8458149779735683,2.279528259022935,1.0,0.08966060448337629,4.07920133111481,0.6919978632478633,0.3991683991683992,0.7548539729156469,0.6381541257580846
"frozenset({'wingspan_WINGSPAN_LOW', 'max_vertical_leap_MAX_VERTICAL_LEAP_HIGH'})",frozenset({'standing_vertical_leap_STANDING_VERTICAL_LEAP_HIGH'}),0.17221297836938437,0.36189683860232946,0.14143094841930118,0.821256038647343,2.2693097895496694,1.0,0.07910761598112963,3.5699284975491294,0.6757020396098138,0.36016949152542377,0.7198823447902298,0.6060303181742462
"frozenset({'lane_agility_time_LANE_AGILITY_TIME_HIGH', 'max_vertical_leap_MAX_VERTICAL_LEAP_LOW'})",frozenset({'standing_vertical_leap_STANDING_VERTICAL_LEAP_LOW'}),0.20549084858569053,0.37271214642262895,0.17304492512479203,0.8421052631578948,2.2593984962406015,1.0,0.09645598987821186,3.972823072656685,0.7015706806282722,0.4271047227926078,0.7482898226999861,0.6531954887218046
